directory;filename;type;size;lastModified;extension;mime;specialType;valid;hasCategory
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_37.xml";"File";185584;"2024-08-14T14:32:08";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_34.xml";"File";1456185;"2024-08-14T14:32:08";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A63_51.xml";"File";8953920;"2024-08-14T14:32:08";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_38.xml";"File";5350221;"2024-08-14T14:32:09";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_43.xml";"File";286417;"2024-08-14T14:32:12";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_40.xml";"File";7280832;"2024-08-14T14:32:11";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_42.xml";"File";3568874;"2024-08-14T14:32:12";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_39.xml";"File";10877250;"2024-08-14T14:32:10";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A64_41.xml";"File";7164390;"2024-08-14T14:32:12";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_20.xml";"File";1149304;"2024-08-14T14:32:14";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_23.xml";"File";178116;"2024-08-14T14:32:14";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_18.xml";"File";3238076;"2024-08-14T14:32:13";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_19.xml";"File";3210846;"2024-08-14T14:32:13";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_17.xml";"File";4103639;"2024-08-14T14:32:12";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_21.xml";"File";1133756;"2024-08-14T14:32:14";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_27.xml";"File";4049476;"2024-08-14T14:32:14";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_22.xml";"File";1053215;"2024-08-14T14:32:14";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_23.xml";"File";103008;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_41.xml";"File";77412;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_44.xml";"File";162763;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_18.xml";"File";14384;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A70_45.xml";"File";251890;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_41.xml";"File";1571516;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_20.xml";"File";14409;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_19.xml";"File";197523;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_42.xml";"File";1390252;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"A67_43.xml";"File";4006905;"2024-08-14T14:32:15";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_23.xml";"File";100620;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_24.xml";"File";172285;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_25.xml";"File";105858;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_26.xml";"File";81349;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_27.xml";"File";191081;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_28.xml";"File";125017;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_30.xml";"File";115836;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_39.xml";"File";48303;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_22.xml";"File";419594;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_40.xml";"File";93877;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_44.xml";"File";230776;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_29.xml";"File";399569;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_40a.xml";"File";523453;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_58.xml";"File";1140516;"2024-08-14T14:32:17";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_45.xml";"File";1491345;"2024-08-14T14:32:16";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_61.xml";"File";1509015;"2024-08-14T14:32:17";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_62.xml";"File";1075145;"2024-08-14T14:32:17";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_63.xml";"File";1538923;"2024-08-14T14:32:17";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_65.xml";"File";5779535;"2024-08-14T14:32:19";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"ofmgrazSchema.rng";"File";20239;"2024-08-14T15:26:47";"rng";"application/xml";"";no;"https://vocabs.acdh.oeaw.ac.at/archecategory/model"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_64.xml";"File";4344229;"2024-08-14T14:32:18";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_75.xml";"File";507767;"2024-08-14T14:32:23";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_69.xml";"File";6960459;"2024-08-14T14:32:22";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_68.xml";"File";5027448;"2024-08-14T14:32:21";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_67.xml";"File";6540712;"2024-08-14T14:32:21";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"ofmgraz.rng";"File";20234;"2024-08-14T14:36:55";"rng";"application/xml";"";no;"https://vocabs.acdh.oeaw.ac.at/archecategory/model"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_66.xml";"File";5112425;"2024-08-14T14:32:20";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_72.xml";"File";5551257;"2024-08-14T14:32:23";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"ofmgraz.odd";"File";6403;"2024-08-14T14:30:14";"odd";"application/tei+xml";"";no;""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_70.xml";"File";1289144;"2024-08-14T14:32:22";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_76.xml";"File";424807;"2024-08-14T14:32:24";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/teidocs";"S1_74.xml";"File";510132;"2024-08-14T14:32:23";"xml";"application/tei+xml";"";yes;"https://vocabs.acdh.oeaw.ac.at/archecategory/dataset"
